REVIEW,RATE,THUMBS_UP_COUNT
"Don't trust this app, when the.money gets debited from account and further to it the bank too confirms payment is successful. BB say payment not received. Very problematic APP, not reliable for payment. They further call back asking us to pay again. Big basket is very greedy, poor customer experience. And also products are expensive when compared to market and competition. I had opted for bigbasket based on my convenience. Don't be loyal customer. It is not big basket but bug basket.",1,5
"What is the problem with it nowdays , it won't let me add anything more than 2 items . Can someone from your team connect to me. Even I have already reinstalled this application twice .",1,2
"No slots available (since April). I first thought it's a application issue, but many BB users are facing this same issue. App's homepage clearly shows next slot timings but at the time of Ordering it gives error 'No slots available for you'. I have complaint BB but no resolution to it. Since Govt allowed home deliveries, i have tried multiple times. It's July end still the same. Uninstalling it.",1,121
It won't show selected items in the cart and if it shows in the basket we cannot delete an item from basket.,1,1
I had absolutely no issues with this app. I understood when slots were unavailable during lockdown at first. Then slowly the operation became smoother but now for some unknown reasons slots are never available. In the past two weeks I haven't managed to book a slot even once. I do not understand what happened.,1,36
"It's been about 2 to 3 months that I am trying to shop from this app but it is always showing 'slots full, please try again later'. This is a very bad online shopping app. Also, there is no option of pay on delivery. Other apps are way better than this, atleast there are always free slots available. Here, I can never find a slot available so that I can order groceries. It is a very bad app.",1,40
Worst app ever found. Always shows all slot full. The people who are installing this app are simply wasting because you can't buy anything because even if the slots are empty it will show you the slots are full. It is just waste of time. The people who are installing this app with belief that they will get their groceries they are just wasting their time because the time where they could spend in this worst big basket they could find any other app. Recommended never install this app.,1,63
"Very poor app and customer service also. No time slot value and nither response properly. And customer support response:- ""Deliver guarantee is not applicable"".",1,6
"You deserve it. First they say your membership will be auto renewed in next five days and when you go to cancel the auto renewal, the app says some error has occurred. What do guys think that now I should add a reminder or call your customer service just to cancel that auto renewal?? Don't you think time is precious for everyone? Why one should spend their half an hour on something which they never asked for in the first place?",1,41
"Menus are loading very slowly, reinstalled app, but still the problem persists",1,0
"Pathetic, they don't allow changing phone number. In my present region, I am using a different number. I accidentally created a new account for my present number. My goal is to have one single account with my present email and present phone number. Now I can't do so since there is one account with my email and old phone number and a separate account for my new phone number. The customer care is so illiterate that they could not understand the issue even upon multiple calls. Finally quitting !!!",1,258
"Now no option to cancel bbstar membership also!!! Lost trust! You took Star membership fee and stopped services in my area!! Your customer care do not know when you will resume!! in new year you just complicated bank offers, introduced bbstar but made it useless by allowing eithee bank or bbstar coupon at a time. overall image decreased!!",1,1
"Unable to check cart with error ""sorry something broke from our end"". The error continues from 2 months unable to order anything.",1,2
Unable to remove items from basket. Shows removed but doesn't get removed.,1,0
Since March it shows slots are currently full. It's ridiculous. It could at least gv correct error that they are not currently delivering. I undated app too. No change. What's the point in sending new product and offer notification then? Just irritating and wast of space. I used to regularly order from bb. But today I will uninstall.,1,13
"Worst experience i had with this app , epitome of cheating, they will show you some price but ultimately impose 3 times the price of shown items, half the items are missing after cheatout(the cheaper ones) and the costlier varieties are imposed with 3 times the price, since everything is prepaid the money is now in wallet. Lockdown has actually taught everuone to cheat blatantly. I called up the number provided, they didn't inform anythng to this matter. I wish to give a negative rating",1,12
"Update 1- Third class app. not able to pay by debit card. i tried more than 5 times. I tried by different mobile but I couldn't pay. Update 2-(After 1 day). Iretried to pay atleast 15 times, but everytime transaction got failed. no one is replying over email. over chat issue escalated but noone is replying. I will never buy from bigbasket worst service. Updt 3- as you responded to this review I have shared my contact details to you... Update 4- shared order details. Updt 5- no solution yet.",1,15
"I had uninstalled the app as no slots were available continuously for two months or so, and when i installed it today ,instead of accepting my profile with my mail id,it was showing mail already exists.There should be a means of authentication of the user by sending a otp to registered mail.But it is always prompting me to give another mail id .Uninstalling the app again",1,7
Very waste app.Expired data products are coming.very waste of time and waster than any app in the world. Because of this app my stomach was not good for a half day. This app is danger than corona virus.this app is a extra virus in my phone.Never ever in my life up-to it updates till that time I will just not install this big big basket in my phone.so guys don't even try to order anything.If you order fruits and vegetables that will be rotten or having fungus or overripinned.waste waste waste.,1,5
"Last time I complained about availability of slot. So they come up with a good solution. They always show you Hard coded available slot and after putting so many efforts at the time of placing order *Sorry we don't have Slot"".. nice",1,1
"Not so good, Each order will definitely have some undelivered items. This happened to me each time I place order. The refund money will be added to your wallet only, but not to the original payment source. I have that refund money in my wallet but I'm not going to use this app because again I need pay delivery charges. This seems like gimmick.",1,9
"Big mess if you depend/trust them. I used to try for infinite time to get a delivery slot. Once got a slot, ordered vegetables and fruits. On the day of delivery received an email mentioning almost half of the items will not be delivered but order details in portal was not updated!!! But all items were delivered. Then the worst story, which is enough not to trust this brand. Most of the vegetables were rotted and frozen. Quality and service should come first then the rest.",1,4
"There seems to be a bug in the application I add items When I go to checkout, it shows an empty cart. If I go back and again add items, the item count goes up by 1. Showing count as 2 quantities now. I'm unable to place any order. My app is updated as well",1,5
Very bad app..... I don't accept my order due to some personal problems 14 days ago but till now they don't refund my money...I try again and again to contact them but no one receive any call . In this pandemic moment where money is a big problem but they continuously dribbling with me . This is very very bad .. now I decide to complain against bigbasket in consumer forum.... I want my money back as early as possible.,1,1
The worst!! From last four to five months they are unable to provide a single slot for me.. And bb prime membership is a scam. They dont give any excess facilities. Not even discounts on necessary items. And now they automatically renewed my membership and charged from my wallet. And now my wallet is showing minus balance. And from last few days i m trying to opt out of this auto renewed membership but this app is showing error and error.. Disgusting experience.,1,11
"The app stopped working for me in Android. I can use it only once. Every time i need to uninstall and install again. Technically i have tried all options like clearing cache, force stop restart etc. This issue is funny and facing since last 2 months. Earlier it was working fine.",1,9
"My experience, especially since March 2020, is very bad with them. Evry time I order, at time of delivery some item is not there. And refund is credited to BB wallet. This should not happen n an option should be within App to get the money back in the original source Account.",1,5
This is a paid members only app.. if u dont buy their membership plans u wont get any delivery slot. Uninstalling for 2nd time as i had installed this app after lockdown with a thought that probably now there wud be delivery slots available but even after 1 month couldn't find a single day with available slots.. money minded app n organisation.,1,8
worst experience with this app.Delivery slots are never available.cc is like robot .dont have any answers and least bothered.i have bbstar membership but never get a slot even though it shows slot availble at the home page.Half of the items added to cart will show not available after adding them.few of the items from the ordered items will go missing and they provide a cashback to bb wallet which can be used in next purchase.why cant they return the money to my wallet or card.,1,1
Giving 1 star just to find solution for notifications issue. There is no option to disable notification on available product. Opted to notify option for out of stock products but once available I purchased but still getting notification via email and app every time products are available so annoying. Please solve this issue or let me know how to disable,1,4
"All is well except ,Out of stock item gets back in stock and out of stock in a flash. And the out of stock item is not shown in the cart as well. And the Second problem is the payment gateway.I have tried each and every payment option for discount but I haven't succed Even once , I mean almost every time the payment gateway is broke and even after successfully applying the voucher the order gets shifted to cod and you have to pay full price and after this if you try to apply vouch. Its waste😠",1,6
"I m a old customer, but now a days the app behaving like stranger, showing all the slots are full. it may be for a sort of time, but in every single time having the same Worst Experience. Truly getting Fed up by seeing the same thing !! :@",1,4
"Orders get cancelled without notification. They won't refund shipping charges unless asked. When you contact customer support, they just repeat the pre-framed blurbs without explaining the actual issue which is quite irritating.",1,0
"The sodexo, though being a contact less payment medium is unavailable alongside cash on delivery. This shows how little of effort goes into the development as there is no underlying knowledge how a payment method works. Since sodexo meal card is similar to any other debit/credit card in terms of making payment, I don't see a reason why anyone logically would disable it under the Covid distress. While the competing online grocery store readily accepts sodexo card.",1,3
Worst app ever. Doesn't give slots for long time now and we are facing problems due to this. Even customer care is very poor and don't solve any problem just makes you roam in circles.,1,5
"For the name sake of bb membership, they won't give you any slot but if you are non bb member then you can place order successfully. Priority slot mean bb is making you fool because you never get this slot as per my experience but if you are non member then you successfully get slot.",1,3
"Slots are never available, irrespective of normal or BBSTAR members. We understand that there is a crisis, but this is getting very frustrating. Like slots are never available!",1,4
"There is a trick while applying coupon code, big basket not allowing customer to apply coupons. It happen to me everytime when i try to apply code, they failed the payment and while I try to revise payment it says i can not apply this code. It is very frustrating. 2nd issue is always there is some item missing in every order.",1,10
Kindly label the images present in app As Google TalkBack is not able to identify it hence visually impaired are facing difficulties to use BigBasket app,1,7
"Pathetic experience using Simpl wallet hosted on big basket. Amount gets deducted from Simpl but big basket denies that any payment happened. Huhhh...,, The customer care is so illiterate, they read out your problem and ask the same question you mentioned in the problem statement. It took me 10 days of pursuit to explain the problem and still no solution. Eveybtime they say that they are escalating it be looking into it. please improve the customer service experience or lose customer's",1,2
"Many payment incidents while paying by card, despite bank confirmation of payment, bigbasket refuses to acknowledge payment completion nor has big basket's escalation team respond this matter. Very disappointing!!",1,1
"This is regarding you poor services and application. 1. Your app doesn't catch my location and automatically shows wrong address. 2. Past 1 month the is no delivery slot available 3. Despite entering my location of east delhi, everytime I login it goes to banglore location. 4. When i choose option notify me when the product is available it sends me the message for the product available at banglore location and not for my address Delhi What kind of services you offer?",1,2
App shows that there are slots available but while checkout I get slots not available message. Trying to checkout from long time. I even went and checked delivery slot against each product as well. Such a waste of time of adding the products and then again waste trying to order in regular intervals. Frustrated user.,1,4
This app needs to have better inventory validation. Most of the time the items ordered are less than the items received. I think it is basic functionality for CXP.,1,0
"Used to work great, but the latest app is not letting me load even the home page on my Mi A3. The loading occurs infintely. Please fix this issue!",1,0
"A worst app, they have not refunded the amount for which they have not delivered if I enquire they said it's been initiated , but I have not recieved any amount , they are not responding properly. It's just a waste of time and money.",1,0
One of the worst app after the lockdown started. When you enter the app it shows that you have delivery slot available and you add all the items and then click on checkout and then it says we don't have delivery slot available for your location but when I check at home page it still says delivery slot available. If that is the case you should let us know at the start since my address is saved in the app. And last mnth it made me purchase the worst BB star prgrm and since then Im facing this prob,1,3
"App shows available slots on home screen but while placing order app gives error 'No slot available'. It seems like company is playing with customers to keep them engage on platform,even though they dont have capacity to serve orders.",1,0
"This is a very cheap app, case of fraud on such an app. After the transaction, when it is canceled at the time of delivery, saying that your boundary falls outside the area. And your money will come in 7 to 9 working days.",1,1
The app and its service are good but there is some problem in the app i have created my profile on the app but still it was asking me to create the profile and at the time of email id it was showing that i have alredy used the email id . Please do solve this problem because of that i had faced problem in placing order.,1,5
My big basket app always show Bangalore location while I reside in Hyderabad. I have set my default address in Hyderabad and don't have a Bangalore address still it gets reset to Bangalore by itself which is quite irritating. Most of the items are out of stock all the time.,1,2
Pathetic service It shows slot is available. Have been calling the customer care since past 3 months and they say it's a technical glitch. They haven't solved the issue till date and my membership is getting wasted. Absolutely pathetic,1,0
Some items shows as available and packing time change to not available. When i checked the same product at the time of delivery it shows still as available. Don't cheat by showing as available. Otherwise return amount should give back to the account from where it paid. Do not keep with you by saying its in our wallet.,1,0
Unable to proceed to payment screen. Presently confirming order over phone. Only fund wallet option is working for my phone. 6.8.2020 Sent required screen shot. Updated to latest version of your app. Still app not working.,1,5
"Good for ordering first couple of times only. Offers are not good, only an item or two will be showed in discount and rest are overpriced more than what we get in our local stores, range of products is poor, stock is always low{specially vegetables}, few of the common items are not even available like burger buns, wipped cream etc. Cannot use for longer period. I am there bb star member even after that i face these problems.",1,0
"Could not order the entire day and every time it shows slots are unavailable. When I logout it is showing slots are available for the location I have provided, but in logging in the slots are not showing at all. I am even a bbstar member. For what I have paid you extra money then if you cannot provide me a slot for two days later ?",1,0
"App doesn't accept virtual meal pass by Sodexo, errors as invalid card number.",1,0
Wallet amount can't be reversed back to source account without cx support's help. Also once payment is through and if you try to apply voucher it asks to make payment again of discounted amount and cancels the initial payment made. Cx support is also not upto the mark.,1,2
This app is really irritating I've used payzapp option and it was mentioned use code GROCERY on payzapp and while proceeding to payment there was nothing to input the code then I came back on the order page now they are saying order placed but I don't have cash to pay them and now they want cash,1,0
"Very less items are available and at high cost , payment gateway is bad. Once the items runs out of stock it will take many days to restock again. After opting payment option order will place without deduction of money and it will automatically turn into COD. Plz improve it .",1,1
I paid from my bank account and I expect refund in my bank account. They never mentioned they will refund in store credits. On top of that I cannot use it unless I spend more than what I have in terms of store credits. Stay away.,1,2
They've completely lost the plot. How's the inventory management so bad. - Go through the Suck navigation and discovery. Hit the checkout button. And boom! 11 of the 25 items on your list are not available. - Order the remaining. Expect to get only half of them. If you're lucky. And they'll inform only an hour before delviery.,1,5
There is no point in continuing your services if you could not provide slots to customers. Since the last three months i have been trying to get a slot but failed to do so. You could not even provide slots 1 week down the line also!!!,1,3
"One of the biggest problem with this App is, paying thru Sodexo card option is not available in it. Whilst I understand cash on delivery is deterrent towards contactless delivery, would like to sincerely request on to look for reintroducing the option of paying thru Sodexo in the App itself.",1,4
"If there is an option to give no star, I will prefer that. Just worst service. Since last 6 days there is no slots available for delivery. After subscribing the BB Star membership there was also the same. Now there is many alternatives. So why would we depend on you.",1,3
Pathetic condition of the app.... First of all trying for a long time but no slot availability n now the order items are not even displaying in the basket... Have been on it for an hour still the same thing. Grofers is much better... 😠😠😠😡😡,1,4
Such a pathetic app never get the available slot to make booking. Slot was available while products were added on to the cart but while placing the order it shows no slot available.. its really frustrating.. grofers is 100 times better then this in terms of service and discounts,1,5
I paid and taken membership. But there is no use with the membership. Simply wast of money. Better dont take the membership. There is no response from customer care also. Asked them to cancle my membeeship within 10 days from the daye of puarchase. But i did not get any rsponse.,1,0
"They were mentioning that slot is available for the particular address, however after ordering the message is populating as no slots. It is very disgusting and wasting of precious time during these days.",1,1
If you have no slot available for delivery ... Why are you not showing it in very beginning??? . Getting to know after adding all required items in basket is very irritating. Please work on it.,1,0
"No slot for last four month. Why you mention slot is full, if you are not working. Mention the next available slot. Getting highly better service from other delivery app.",1,4
"For the last 3 months,I have seen only one message,""All slots full"",every single time,absolutely disappointing experience.",1,1
"This app showing initailly discounted price, while check out adjusted higher amount, really bad experaince i had. Only software engineer and high pay professionals are dont worry about thier money, they usually wont check such mistske.. but really a cheating and bloody aapp.. Rice 10 kg 490 discounted price but check out it become 650 rs, urad dal 151 rs during adding card after check out it become 220 rs... guys be carefull... such a worst and cheating organisation..",1,3
"This app should be named as ""no slot available"" app no matter how much you try the slots are always booked. Yet the irony is there is a membership also with fees which dosent helps.",1,2
"The only time I got a slot is on the day I bought the membership, its been more than 3 months now and I wondering when I will be able to get a slot... Very disappointed!!",1,5
If you select 5 items you will get only 2 items from the list and if you going to purchase again that remaining item then delivery charges will apply on you again on the same item... Totally rubbish,1,0
Very bad service every time i try to place order it says that all slots are full please try again later. I have to order esssentials.please fix this problem as soon as possible.,1,4
Very bad experience with big basket. 92% of the time you will not be able to order due to slot not available message. Guys I would like to know if you will keep on waiting for next 10-12 days when you are running out of groceries and supply. Don't get fooled by their bbstar membership it is useless and doesn't guarantee any better service. Their customer service is equally bad and apathetic.,1,4
"Worst experience ever with this app placed an order but payment methods are not working but the order is place. Want to pay from order my ac option but payment button not highlights. Want to cancel the order but keep saying ""error at there end engineers are working on it keep trying after some time"" I will not give one star for this app but there is no lower options in google store rating. Very disappointed buy there service",1,3
It shows no slots available...it has been more than 10 days. I don't understand what is wrong. It's better to uninstall rather than waiting for available slot.,1,3
"Worst app, been trying to set up an account and I have tried maybe about 10 times since yesterday and it still won't send an OTP to verify my mobile number.",1,1
"It's showing- slots are full, try again later. It's continuing from long period. What's the utility of this app if customers are not able to place orders .",1,3
"The bbstar membership is a sadistic joke. Some of my family members tested COVID positive, and I bought the membership so that they could get essential items quickly. They advertise saying that there are special slots for star members, but I can only get groceries delivered 5-6 days later, with the membership. What is the point of that? JioMart and Amazon pantry have shorter delivery times, and you don't even have to pay extra fees for a farce called ""star membership"". Utterly disappointed.",1,1
"Worse! Why this app still there don't know! They don't want to do business! Trying last 4-5 days! Always shows ""All slots are full! I would give zero star. Grofers, Amazon, swiggy, jio mart much much better.",1,4
The items are not showing in tbe cart. Only after log off and login again I was able to see the cart items. And Now I am not able to remove anything from the cart. Seeing the issue from last 2 days. :(,1,0
"app is good. easy to find product, but if we compare Price of product it is more than general store so my mom is not satisfied with this app make sure that your Price and store Price must be same. thanku🙂",1,0
"I have ordered so many times from bigbasket and yes I have got everytime as per schedule, with quality issues sometimes..but that was acceptable and bigbasket also never denied replacing that too. But for almost a month it is showing slotts available but instead to BB star I do not get my items schedule to my location.. How the hell bigbasket not capable of delivering the items. Whereas grofers do. For last one one month I had ordered 4 times from grofers and this BB is showing no slots availabl",1,0
"Can not pay through Sodexo. Due to covid they have disabled sodexo at delivery, that is fine but there should be an option of paying through sodexo card by entering card number digitally at the time of check out itself.",1,1
You guys have the worst app service... I told the customer care person to delete my mobile number so that i can use that mobile number to my email address account. That guy informed that mobile number account is disabled and even after 3-4 days im not able to still use that mobile number to my account.,1,3
"Cheated by bbstar membership, dont purchase. There is no slot. After bbstar membership given 1 delivery then no slot and no response from support. Support saying they fix as earliest, no knowledge of when fix in non containment zone.",1,0
I cannot install this latest version and I have cleared the storage space and also restarted my phone several times.,1,0
The app should allow for prepayments using Sodexo cards just like you would do using a normal credit/debit card. Treating Sodexo only as a CoD option is inconvenient and that too is disabled during the current covid crisis.,1,2
What is the neeed of this app when there are no slots available at crucial times??? A friend in neeed is a friend indeed. But this proverb does not go with Big basket. Very dissatisfied.,1,0
"This issue happens more than 10 times till now.If you place order for ex: 10 items and while delivering they mention 4 to 5 items not available. If items are not available why in the first place bigbasket allowing me to place order.After delivery when I opened the app the item is availabe ,so to re order In big basket atleast I should buy items for 600rs to opt free delivery which is nonsense. So to buy remaining items I have to choose other apps. I never faced the issue with other grocery apps",1,2
"Today I had my worst experience with Bigbasket. After adding 11 items, when I tried to pay, I got a message ""something wrong happened from our end"". After that all the items in basket emptied. I had enter all the items AGAIN. Again it failed during payment. WORST ONLINE SHOPPING EXPERIENCE",1,2
"My first experience with this app is worst experience of my life as I also have the bb star membership. AT the time of delivery they told me to deliver the order on next day, then why we need the membership as it seems to be the wastage of money.",1,1
"All time showing no slot available. This is not big busket, like small busket. Pls change your app name big busket to small busket. Very disappointed. How many years waiting for available of slot ?????",1,2
Every time they are skipping one item and crediting refund to Big basket wallet. It should be reverted to the actual payment method what i have used at the time of purchase.,1,0
Very poor service good for nothing app they serve products which are expired to the customers there are many other good apps then big basket. Overall Review:- Miserable App I would not recommend this app to anyone who is very keen in ordering good quality of grocery for home purposes.,1,0
Total disappointment .... I have been trying to get a slot for a week now.... There's never a slot available... 😏 only trying to get me to pay membership... Stupid app stupid services,1,2
"After the most recent update with some token system, I'm not able to place order despite being a star member. Called up customer support and no luck with the issue. Frustrating experience to order groceries :(",1,2
"From last 2 month whenever we add any products to cart it got deleted automatically, earlier I thought might be it is some temporary error. Now I feel it is some major issue. Now I'm shopping at Amazon pantry they are providing very good service.",1,2
Everytime I visit the app it keeps showing all slots full. Totally disappointed. This is happening since april. Now uninstalling the app. Useless!,1,1
BigBasket has been nothing but a horrible experience with incompetent customer service giving generic answers to almost anything you ask them. The slots are almost never available even if you are a so called BB Star Member. 399 for this stupid membership which puts you in the same place as without it. Priority slots for members is a complete joke! The overall service has deteriorated from bad to worse. Its frustrating when you are not given the service you're promised in the first place.,1,3
Please remove all the bugs in the app. There comes a white screen at the payment page.,1,0
Not able to pay online after otp.. payment got failed. And i received msg from bank that money got deducted. App showing cod.... After some time i retried money got deducted again from bank...but app is showing payment failed...means you deducted 2 times and still showing cod,1,7
There never are slots available. Come on guys. Can't you invest in some system where slots are automatically allocated depending on staff availability?!? So broke?!? If the available slots are not convenient customer will leave and shop elsewhere. Simple.,1,0
"Prices of items on bigbasket Onion 1kg = 22 Potato 1kg = 42 Tomato 1kg = 38 Total = 102 Combo pack of 1kg onion + 1kg potato + 1kg Tomato = 118 Amazing pricing model, I had uninstalled you for thr right reasons 😂, it was a waste to of time installing you again, hoping something would have changed 🙄",1,1
"From 9may till July NO SLOTS AVAILABLE....On Homepage it's showing Slot available but when I click checkout It says,Unfortunately No Slot Available .called customer service, they didn't help...Uninstalled it.",1,2
"Shameful, again advanced paid order not delivered. Pathetic, no stock of essential items. Due to silly slot issues, were unable to book order for 3 weeks. Then after order with advance payment, full order got cancelled after failing to deliver. Had to call for refund to account, and was advised 7-10 days waiting period. Stop taking advance from customers with orders, if you are unable to deliver. You should pack up your business, if you are unable to fulfill confirmed paid orders.",1,0
This app is of no use..... There r no freaking slots available..... Only the ones who have taken bbstar membership hv the slots available not us the ones who hv not taken. If u wanted to keep it so then why even keep it without of the membership.,1,0
Been 3 months now. Still no delivery slot for my area. Just a useless service. Removing it. Will see if bug basket is functioning when a vaccine is available worldwide.,1,3
Worst app ever. Slots are not available for a single time too. I m trying since 3 days still I m not getting a single slot. Bad experience.,1,0
"The experience is pathetic and customer service is horrible.1.The amount refunded should be back to the original payment method and not force customers to come back. 2. No matter how fast you cancel ,5 mins or 5 seconds,you will be charged cancellation fee. 3. The online transaction fails if you apply a voucher and you end up paying cash. 4.Customer service is useless, they do not understand the issue/query,and doesn't know difference bw UPI and entering card details through debit/credit card.",1,0
"After taking BB star membership also no slots since last 14 days at any time. And I was surprised to know, new customer in my building have got slots and received delivery in 1 day! Why this differential approach to customers? If operational issues, I guess that will be for everyone in that location.",1,0
Well it's already 7 days. But I don't get any slots. Is it broke? Are not you guys gonna fix it? How much wait I have to do? Or It will be one month and the slots are still full.,1,2
I have a Sodexo card that I cannot use as a payment option. It was never an issue before. There is no flexibility in the app. Unhappy customer.,1,3
"Always show no slot is available . Tried 4 times in month, selected products and last you get slot is full. Poor Poor Poor performance...",1,3
"Even though the app says slots are available, on checkout big basket says I don't have a slot, which is frustrating because the home page says a slot is available",1,0
"Worst app earlier use to really good, delivered product r really bad condition if Play Store allowed photo i would have clicked it and shared it. Moreover when you place a order firstly it will get confirmed all the item , later at time of delivery they will this and that item are not there since you have prepaid it m, hence the balance get stuck at their wallet. Rather I have started using JIO MART which is far superior than Big Basket plus no delivery charge at all even if you purchase for ₹20",1,2
"Serious problem with the app, my neighbors next door can get groceries delivered but for me it shows not in serviceable area. BB team should take this seriously. Never going to use this app in future",1,1
Yesterday i ordered for 1848.50 as per billing I added amount to paytm wallet but when i click to pay the amount using paytm wallet when i click pay button it did not work it git reverse to the same pay the amount agin and agin i tried it did not work .i contacted customer care its poor and pathetic customercare answering irrelevent . idiotic.without knowing the steps do i added money to my wallet idiot ur app is not fuctioning properly. Ok today i tried now the bill amount increased by 1859/-,1,0
"Cheap tricks. All items are added to cart and payment is made but suddenly some of these items will not be delivered. The refund will go to wallet and now you have to spend again to clear the wallet. Pathetic and out of touch marketing. Even when I order just three items and one didn't deliver. The delivery is also very messy, they treat the products like luggage in airport checkout. Same problem in the browser. I'll give zero if I can🤬",1,2
Poor service they always cancel orders after completing payments and they didn't refund money in bank account and if we trying to transfer the amount of bigbasket wallet to bank account this process is not working. 😡😡😡😡😡😡😡😡😡,1,1
"The worst app of shopping. Don't install.... Amazon is best one to order any thing. They are not deliver bulk order if you want. They have cancelled my order telling that, i am ordered the item for commercial purposes, that is a biggest mistake of big basket. And they have deactivated my account. ..so friends don't install it... If there is any option of zero star... then i will give zero",1,0
Always slot full. If you can't even buy anything then what's the use of this app. Grofers is far better.,1,0
Initially the experience was good. But once I had paid for membership the service has ruined. The delivery is getting delayed everytime. There executive left the conversation in between without clearing your concerns. Not recommended at all .,1,1
"BS changes made in bigbasket with the addition of token system. When I got notified to order, half of my saved items were not available. Time to go to grofers or swiggy.",1,1
This online platform is too expensive . The rates are so high that its better to purchase from your nearby retail shop.you will save your money and time too.,1,2
Login issue not able to add my email or update .I want to update my email Id and use for shopping. Plz help to update with the existing,1,0
The new token system is VERY bad! It should not be there for bb star members! Pathetic functionality.,1,0
Big Cheats !! They Take money not deliver and then Customer service section says app problem. No provision to reach them. I ordered to recover money from the wallet. But they make sure to not deliver and keep money in wallet and their wallet is useless it won't work anywhere. Big Scam.,1,2
bloody annoying time waste experience while making payment...Five times the same thing is repeated ...Iam frustated like hell 😡😡😡😡😡😡😡😡😡😡😡,1,0
Slots full always. Users need to have bb membership to get slot. Making money out of people in this pandemic.,1,1
Wrost app ... Every time shows all slot full.. I've been trying for 5 days but every time I've facing this problem...,1,1
"Why am i not able to select delivery slot, it shows that i have a slot and hence i proceed for ordering but then i get no slots available, but whenever i restart app same thing happens, app is updated, browser tried, informed your customer service people with screenshots, but your customer service people are pathetic, they just stick templates, didn't get an escalation call that i was going to get and for last 1 week this issue is going on, i think i should start looking for some other apps",1,0
"What is the point of having tokens for slots if I can't place an order on the date mentioned. My token dates keep on shifting. You have no desire to improve your delivery systems, if I face these issues living in a metro city then I can only imagine what people face in small cities. I'm fast losing my patience and will uninstall the app soon if service is so bad. Additionally I will request everyone I know to refrain from using bigbasket if this goes on.",1,102
Fraudulent refund policy. Items always out of stock The app lets you place orders for items that always go out of stock. The refund always goes back to bb wallet and not to the original mode of payment which is an outright fraud. I have availed their membership as well. But no benefits. Recommend to use amazon or grofers rather than this,1,2
Still shows no slots available but in main page there is slot available ... And I have 1800 in my wallet ... For more then 6 months... Kindly do some thing ...,1,0
"Horrible service.Many frozen items are spoilt.I've been cheated by this service a number of times.Product availability is not mentioned before booking.Amount is collected for all the items.At the time of delivery, the delivery guy tells us that the items are not available and that the amount will be credited to the wallet When I insisted that I get a refund,they said that it was sent to the bank.Till date I have neither received the amount in my bank nor in mywallet.Customer service is hopeless",1,0
